iter	MultiClass
536	0.6043997751
537	0.6042110777
538	0.6039764244
539	0.6038315865
540	0.6037435391
541	0.6035904916
542	0.6034673356
543	0.6032587312
544	0.6031822297
545	0.602990795
546	0.602877475
547	0.6025247954
548	0.6023848335
549	0.60226162
550	0.602089662
551	0.6019488387
552	0.6017156675
553	0.6015178228
554	0.6014086913
555	0.6012485959
556	0.6011927913
557	0.6010279628
558	0.600807604
559	0.6006883983
560	0.6005436005
561	0.6003821469
562	0.6002077548
563	0.6000615382
564	0.5999343983
565	0.599830304
566	0.5997126187
567	0.5994755958
568	0.5994037585
569	0.5992483177
570	0.5991643323
571	0.598956561
572	0.5988838714
573	0.5988174566
574	0.5986393213
575	0.5984219069
576	0.5983348385
577	0.5981799154
578	0.5980341539
579	0.5978216413
580	0.5976952484
581	0.5975759517
582	0.597464026
583	0.5973155428
584	0.5970896071
585	0.5968582139
586	0.5967302815
587	0.5966452796
588	0.5965831943
589	0.5964298574
590	0.5963228547
591	0.5962002382
592	0.596018463
593	0.5959391905
594	0.5957304495
595	0.5956048576
596	0.5954948607
597	0.5953284032
598	0.5951739444
599	0.5951022066
600	0.5950409922
601	0.5948835407
602	0.5947654401
603	0.5945670714
604	0.5944745187
605	0.5942061937
606	0.5940722966
607	0.5938914982
608	0.5938203671
609	0.5936359361
610	0.5935079327
611	0.593358593
612	0.5932778208
613	0.5932497118
614	0.5931486756
615	0.5930108418
616	0.5928647174
617	0.5927131782
618	0.5926081932
619	0.5925269282
620	0.5924586051
621	0.5923118821
622	0.5922050988
623	0.5920641077
624	0.5918727535
625	0.5917933818
626	0.5916976254
627	0.5915519481
628	0.5914964013
629	0.5913075815
630	0.5911665498
631	0.5910474099
632	0.5909311816
633	0.5908025323
634	0.5906543642
635	0.5903746366
636	0.5902229884
637	0.5900309722
638	0.5899312814
639	0.5896931964
640	0.5895654647
641	0.5894678217
642	0.5893827366
643	0.5892679206
644	0.5891487815
645	0.5889797126
646	0.5887872842
647	0.5886776012
648	0.5885591152
649	0.5884172845
650	0.5882977529
651	0.5881217046
652	0.5879581652
653	0.5878320313
654	0.5877629673
655	0.5875725112
656	0.5874843471
657	0.5873147085
658	0.5872139611
659	0.5871291369
660	0.5870130792
661	0.5869044547
662	0.5868208623
663	0.58674596
664	0.5866206767
665	0.5864776765
666	0.5864112378
667	0.5862615097
668	0.5861606719
669	0.586062227
670	0.5859033683
671	0.5858364813
672	0.5857091257
673	0.5855875852
674	0.5853696258
675	0.5852508864
676	0.5851716432
677	0.5849532994
678	0.5848205324
679	0.5846850318
680	0.5846135892
681	0.5844758436
682	0.5842868967
683	0.5841558439
684	0.584013192
685	0.5838137741
686	0.5837250364
687	0.5835514746
688	0.5834622324
689	0.5832659024
690	0.5831841408
691	0.5830756915
692	0.5829602776
693	0.582854826
694	0.5826996127
695	0.5825637498
696	0.582471268
697	0.5823362041
698	0.5820794951
699	0.5818666709
700	0.5817482063
701	0.5816794995
702	0.5815504489
703	0.5813530006
704	0.581226068
705	0.5811097256
706	0.5810342896
707	0.5808615872
708	0.5808087191
709	0.5806908563
710	0.5806112301
711	0.580475622
712	0.5803054481
713	0.5802121338
714	0.5801310846
715	0.5799759005
716	0.5798504288
717	0.5796994034
718	0.5796377525
719	0.5795797447
720	0.5794038037
721	0.5792832594
722	0.5792183355
723	0.5791306565
724	0.5790201997
725	0.578852864
726	0.5787821728
727	0.5785324585
728	0.5784573378
729	0.5783567556
730	0.5781673931
731	0.5780515265
732	0.5779111755
733	0.5777399663
734	0.5776227283
735	0.5774786445
736	0.5773671037
737	0.5772666455
738	0.5771098429
739	0.5769997999
740	0.5768888222
741	0.5767224251
742	0.5766159062
743	0.5764599142
744	0.576340814
745	0.5762191441
746	0.5761466023
747	0.5759784807
748	0.5758227986
749	0.575755566
750	0.5755754156
751	0.5755013421
752	0.5753418149
753	0.5752363459
754	0.5750624321
755	0.5748895975
756	0.5748364101
757	0.5746579646
758	0.5745029829
759	0.5744120291
760	0.5742449716
761	0.5740981534
762	0.5739500921
763	0.5738428819
764	0.5736563629
765	0.5735263864
766	0.5732833447
767	0.5731991165
768	0.5730327218
769	0.5729589807
770	0.5727460299
771	0.5725833892
772	0.5724392534
773	0.5722817428
774	0.5721918516
775	0.5720060248
776	0.5718603948
777	0.5717284241
778	0.5716088155
779	0.5715622335
780	0.5714806782
781	0.5713441898
782	0.571230025
783	0.5710681119
784	0.5708510773
785	0.5708074074
786	0.5706496137
787	0.5705572396
788	0.5704420744
789	0.5703427425
790	0.5702618944
791	0.5700683383
792	0.5699564185
793	0.5698786395
794	0.5697436495
795	0.5696633365
796	0.569596172
797	0.5694753489
798	0.5693868604
799	0.569299761
800	0.5691604446
801	0.5690392692
802	0.5688599149
803	0.5687465972
804	0.5686242334
805	0.5685123049
806	0.5683974489
807	0.5683300172
808	0.5682383001
809	0.5681141657
810	0.5679902949
811	0.5678777301
812	0.5677387688
813	0.5676224869
814	0.5675435689
815	0.5674104794
816	0.5673403551
817	0.5672050712
818	0.5670494909
819	0.5669690804
820	0.5668600857
821	0.566732668
822	0.5665446468
823	0.5663687174
824	0.5662111561
825	0.5660813448
826	0.5659928626
827	0.565905415
828	0.5657470633
829	0.5656147387
830	0.5654959308
831	0.5653267193
832	0.5652096618
833	0.5650755931
834	0.5650196654
835	0.564847558
836	0.5646694425
837	0.5645481893
838	0.5643905332
839	0.5642361539
840	0.5641106603
841	0.563995776
842	0.5638964102
843	0.5638288716
844	0.5637129375
845	0.5636093099
846	0.5635067905
847	0.5633517766
848	0.5631683638
849	0.5630828512
850	0.5629618279
851	0.5629062205
852	0.5628074304
853	0.5626320235
854	0.5625112066
855	0.5624256858
856	0.5622731893
857	0.5620856588
858	0.561936762
859	0.5618099586
860	0.5616317927
861	0.5615199411
862	0.5614123956
863	0.5613630781
864	0.5612348701
865	0.5611777025
866	0.5611309526
867	0.5609827098
868	0.5608985002
869	0.5607940131
870	0.5607174173
871	0.5605870613
872	0.5604580352
873	0.5603301672
874	0.5601856717
875	0.560087587
876	0.5599814282
877	0.5597669734
878	0.559667485
879	0.559534967
880	0.5594392855
881	0.5593578877
882	0.5591262447
883	0.5589385635
884	0.5588489695
885	0.558658355
886	0.5585104491
887	0.5583763778
888	0.5583028977
889	0.5581897768
890	0.5580930405
891	0.5579941838
892	0.5577646772
893	0.5576229836
894	0.5575255555
895	0.5574637459
896	0.5574081868
897	0.5572849668
898	0.5571353022
899	0.5570225388
900	0.5569380526
901	0.55683656
902	0.5567116839
903	0.5565906671
904	0.5564946106
905	0.556346034
906	0.5562225057
907	0.5560735215
908	0.5558804625
909	0.5557701106
910	0.555601131
911	0.5554271789
912	0.555306777
913	0.5552228026
914	0.5551598197
915	0.5550277006
916	0.554876493
917	0.5547967174
918	0.5547378459
919	0.554596325
920	0.5545127855
921	0.5543504918
922	0.554207855
923	0.5541378599
924	0.5540590181
925	0.5538881421
926	0.5537196232
927	0.5536128322
928	0.5534113221
929	0.5532840714
930	0.5531414268
931	0.552976737
932	0.5528926478
933	0.552749712
934	0.5526769781
935	0.5525433982
936	0.5523716878
937	0.5522114284
938	0.5520604639
939	0.551948842
940	0.551889908
941	0.5517198119
942	0.5515492585
943	0.5514569871
944	0.5513174325
945	0.5512532544
946	0.5511370547
947	0.5510134641
948	0.5508962654
949	0.5507774886
950	0.5506523484
951	0.5505234313
952	0.5503154924
953	0.5502191828
954	0.5500923482
955	0.5500192495
956	0.5498493331
957	0.5497230731
958	0.5496184983
959	0.5495300393
960	0.5494512896
961	0.5493744143
962	0.5492930114
963	0.5492068361
964	0.549085672
965	0.5488738817
966	0.5487382428
967	0.5486400165
968	0.5485260683
969	0.5483718951
970	0.5482648225
971	0.548198742
972	0.5480056327
973	0.5479083694
974	0.5478141859
975	0.5477065045
976	0.5475372936
977	0.5474393087
978	0.5472422905
979	0.5470792177
980	0.5470074252
981	0.5468365036
982	0.5467141613
983	0.5466577889
984	0.5464916977
985	0.5463499255
986	0.5462560582
987	0.5460952692
988	0.5458613796
989	0.5457970699
990	0.5457348821
991	0.5456386483
992	0.5454615357
993	0.5453448995
994	0.545233865
995	0.5450203001
996	0.5449775056
997	0.544917211
998	0.5448085761
999	0.5447134993
